source,title,url,snippet,published_date,query,year,extracted,extraction_status
DAWN,"Dazzling fireworks, laser show open PSL 9 - Newspaper",https://www.dawn.com/news/1815067,LAHORE: A sparkling laser show and a colouful display of fireworks during an impressive ceremony marked the start of the ninth edition of the HBL Pakistan ...,Not Found,HBL_STRICT,2024,"February 18, 2024",SUCCESS
DAWN,PCB proposes April-May window for PSL 2025 to franchises,https://www.dawn.com/news/1831467,The Pakistan Cricket Board (PCB) on Saturday proposed to the franchises of the HBL Pakistan Super League to hold next year's edition of PSL from April 7 to May ...,Not Found,HBL_STRICT,2024,"May 5, 2024",SUCCESS
DAWN,Under-fire Zaka Ashraf leaves helm of Pakistan Cricket Board,https://www.dawn.com/news/1807242,"The committee granted approval to financial accounts and finalised the budget for the upcoming ninth edition of the HBL Pakistan Super League (PSL), set to ...",Not Found,HBL_STRICT,2024,"January 20, 2024",SUCCESS
DAWN,No guarantees Babar will play full New Zealand series ...,https://www.dawn.com/news/1827880,"Azhar, who recently won the HBL Pakistan Super League for Islamabad United as head coach, said that data suggested New Zealand — apparently depleted by the ...",Not Found,HBL_STRICT,2024,"April 17, 2024",SUCCESS
DAWN,Five 'Champion' teams to form top tier of revamped ...,https://www.dawn.com/news/1850433,"... HBL Pakistan Super League. The PCB, in its press release following their announcement, said the new competitions were meant to “bridge the gap between ...",Not Found,HBL_STRICT,2024,"August 6, 2024",SUCCESS
DAWN,'Pakistan comes first': Imad Wasim takes back retirement in ...,https://www.dawn.com/news/1823317,Wasim was part of Islamabad United who reached the HBL Pakistan Super League final to take the trophy on Monday night. He gave three match-winning ...,Not Found,HBL_STRICT,2024,"March 23, 2024",SUCCESS
DAWN,PSL players draft set for Jan 11 with IPL rejects on radar,https://www.dawn.com/news/1877999,"LAHORE: The player draft for the upcoming edition of the HBL Pakistan Super League (PSL) will take place on January 11, a Pakistan Cricket Board (PCB) ...",Not Found,HBL_STRICT,2024,"December 11, 2024",SUCCESS
DAWN,PSL 2024: Multan end Quetta's winning streak to sit atop ...,https://www.dawn.com/news/1817016,HBL Pakistan Super League: Sultans hold nerve in thriller to edge United ...,Not Found,HBL_STRICT,2024,"February 25, 2024",SUCCESS
DAWN,CRICKET: OLD SCHOOL AND THE SEA,https://www.dawn.com/news/1818746,"... HBL Pakistan Super League so far. The right-armer, who rose through the ranks by impressing with the red ball, has been as good with the white one in the ...",Not Found,HBL_STRICT,2024,"March 3, 2024",SUCCESS
DAWN,PCB announces 17-man squad for New Zealand T20I series,https://www.dawn.com/news/1826702,HBL Pakistan Super League: Record-breaking Rossouw lifts Sultans into playoffs.,Not Found,HBL_STRICT,2024,"April 9, 2024",SUCCESS
DAWN,Yasir confident Pakistan have all it takes to win New ...,https://www.dawn.com/news/1802743,... HBL Pakistan Super League despite putting up a decent show in the National T20 Cup.Yasir acknowledged Ahmed's recent performances and claimed that he urged ...,Not Found,HBL_STRICT,2024,"January 3, 2024",SUCCESS
DAWN,"FIA books 86 officials of Hesco, two banks for fraud in ...",https://www.dawn.com/news/1822988,... Habib Bank Limited on charges of embezzling more than Rs1 billion though fraud in Hesco's salaries fund account. FIA Composite Circle Shaheed Benazirabad's ...,Not Found,HBL_STRICT,2024,"March 22, 2024",SUCCESS
DAWN,Swiatek defeats Rybakina to capture third straight Qatar ...,https://www.dawn.com/news/1815292,HBL Pakistan Super League: Gladiators start with clash ...,Not Found,HBL_STRICT,2024,"February 19, 2024",SUCCESS
DAWN,"PCB announces PSL prize money, auction plan for new ...",https://www.dawn.com/news/1956591,LAHORE: Pakistan Cricket Board (PCB) chairman Mohsin Naqvi on Friday announced a new reward for the upcoming HBL Pakistan Super League (PSL) edition set to ...,Not Found,HBL_STRICT,2025,"November 22, 2025",SUCCESS
DAWN,"Mitchell, Raza star as Qalandars deepen Sultans' woes",https://www.dawn.com/news/1906769,"HBL Pakistan Super League: Mitchell, Raza star as Qalandars deepen Sultans' woes · Mohammad Yaqoob Published April 27, 2025. 0.",Not Found,HBL_STRICT,2025,"April 27, 2025",SUCCESS
DAWN,HBL Pakistan Super League - Newspaper,https://www.dawn.com/news/1911872,"HBL Pakistan Super League ... RAWALPINDI: Hasan Nawaz's unbeaten 67 off 38 balls, studded with six towering sixes, powered Quetta Gladiators to a thrilling two- ...",Not Found,HBL_STRICT,2025,"May 19, 2025",SUCCESS
DAWN,HBL Pakistan Super League: Raza stars as Qalandars end ...,https://www.dawn.com/news/1907723,"Imperious after winning their opening five games of the ongoing HBL Pakistan Super League season, they were routed by a rampant Lahore Qalandars at the Gaddafi ...",Not Found,HBL_STRICT,2025,"May 1, 2025",SUCCESS
DAWN,HBL PSL 2025 to continue as per schedule amid ...,https://www.dawn.com/news/1909144,"The Pakistan Cricket Board (PCB) confirmed on Wednesday that the HBL Pakistan Super League 2025 will continue as per schedule, amid escalating regional ...",Not Found,HBL_STRICT,2025,"May 7, 2025",SUCCESS
DAWN,HBL PSL 2025: Sultans' play-off hopes quashed by ...,https://www.dawn.com/news/1907862,Multan Sultans' desperate bid to keep their HBL Pakistan Super League play-off hopes alive ended in a crushing 87-run defeat to Karachi Kings on Thursday.,Not Found,HBL_STRICT,2025,"May 2, 2025",SUCCESS
DAWN,"HBL PSL: Shaheen, Fakhar inspire Lahore Qalandars to ...",https://www.dawn.com/news/1904104,"RAWALPINDI: After a poor start to their HBL Pakistan Super League campaign, Lahore Qalandars needed inspiration to stage a comeback.",Not Found,HBL_STRICT,2025,"April 14, 2025",SUCCESS
DAWN,"HBL PSL 2025: Fakhar, Shaheen star again as Lahore ...",https://www.dawn.com/news/1904530,"KARACHI: In the most anticipated HBL Pakistan Super league fixture here at the National Bank Stadium on Tuesday, Lahore Qalandars were as clinical as Karachi ...",Not Found,HBL_STRICT,2025,"April 16, 2025",SUCCESS
DAWN,HBL Pakistan Super League: Quetta Gladiators' fightback ...,https://www.dawn.com/news/1906627,"HBL Pakistan Super League: Quetta Gladiators' fightback floors Karachi Kings · Mohammad Yaqoob Published April 26, 2025. 0.",Not Found,HBL_STRICT,2025,"April 26, 2025",SUCCESS
DAWN,HBL Pakistan Super League: Holder stars as United crush ...,https://www.dawn.com/news/1903649,"HBL Pakistan Super League: Holder stars as United crush Qalandars in flying start to title defence · Kashif Abbasi Published April 12, 2025. 0.",Not Found,HBL_STRICT,2025,"April 12, 2025",SUCCESS
DAWN,HBL PSL 2025: United juggernaut rolls on with thumping ...,https://www.dawn.com/news/1906185,"And the most clinical side in the ongoing HBL Pakistan Super League edition so far, did what it has done all season; win matches. On Wednesday night here at ...",Not Found,HBL_STRICT,2025,"April 24, 2025",SUCCESS
DAWN,"HBL PSL 2025: Yasir, Ubaid star as Multan Sultans get off ...",https://www.dawn.com/news/1906017,MULTAN: All Multan Sultans needed to get off the mark in this HBL Pakistan Super League season was a homecoming. In their first match at the Multan Cricket ...,Not Found,HBL_STRICT,2025,"April 23, 2025",SUCCESS
DAWN,Former South African captain Faf du Plessis to play in PSL,https://www.dawn.com/news/1958291,LAHORE: South African former Test cricketer Faf du Plessis has confirmed he will play in the 11th edition of the HBL Pakistan Super League (PSL) in 2026 ...,Not Found,HBL_STRICT,2025,"November 30, 2025",SUCCESS
DAWN,'PCB to pay additional $100000 to elite PSL recruits' - Sport,https://www.dawn.com/news/1886421,"KARACHI: The Pakistan Cricket Board (PCB) will pay an additional sum of $100,000 to six high-profile foreign players in the HBL Pakistan Super League ...",Not Found,HBL_STRICT,2025,"January 20, 2025",SUCCESS
DAWN,PSL 10 to commence from April 11 as PCB unveils schedule,https://www.dawn.com/news/1894877,"The Pakistan Cricket Board (PCB) on Friday announced the schedule for the HBL Pakistan Super League X, set to commence from April 11.",Not Found,HBL_STRICT,2025,"February 28, 2025",SUCCESS
DAWN,"PSL 2025: Fakhar, Salman shine as Qalandars seal playoff ...",https://www.dawn.com/news/1911853,"Fakhar Zaman and Salman Mirza starred with the bat and ball, respectively, as Lahore Qalandars secured their place in the HBL Pakistan Super League playoffs.",Not Found,HBL_STRICT,2025,"May 19, 2025",SUCCESS
