date,Open,High,Low,Close,Volume,daily_sentiment,daily_sentiment_sum,daily_news_count,daily_pos,daily_neg,daily_neu,quarterly_sentiment,annual_sentiment,log_return,close_next,log_return_next,direction_next,quarterly_date,annual_date
2024-06-28,106.8787093769673,106.8787093769673,104.30538568469215,106.38977813720705,3455006,0.0,0.0,0,0,0,0,0.135627,-0.715838,0.0005645305945449763,107.28186798095705,0.008350148869666896,1,2024-03-31,2023-12-31
2024-07-01,106.35546985078102,107.822263618076,105.09454015320269,107.28186798095705,1963928,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.008350148869666896,108.10533142089844,0.0076463917481177646,1,2024-06-30,2023-12-31
2024-07-02,108.0710196516998,108.76582152544624,107.59066797152016,108.10533142089844,2221151,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0076463917481177646,113.67229461669922,0.05021365737531003,1,2024-06-30,2023-12-31
2024-07-03,108.72293146809648,114.72735371880005,108.50848781628564,113.67229461669922,7324743,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.05021365737531003,113.83527374267578,0.0014327361065946675,1,2024-06-30,2023-12-31
2024-07-04,113.64656228223213,115.71378913574397,108.93737498250891,113.83527374267578,6996226,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0014327361065946675,119.23067474365234,0.04630762372567787,1,2024-06-30,2023-12-31
2024-07-05,113.65513959376932,120.73178036092855,111.76803800691398,119.23067474365234,10034650,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.04630762372567787,122.64462280273438,0.02823086796052987,1,2024-06-30,2023-12-31
2024-07-08,120.088457864429,124.46311406493162,117.95259415194307,122.64462280273438,5278504,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.02823086796052987,120.56021881103516,-0.017141558667284507,0,2024-06-30,2023-12-31
2024-07-09,122.75611962297695,125.14930492183196,119.23066560562629,120.56021881103516,3225650,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.017141558667284507,118.33859252929688,-0.018599425542837444,0,2024-06-30,2023-12-31
2024-07-10,121.36653589580108,121.36653589580108,117.5151231337543,118.33859252929688,1934735,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.018599425542837444,120.04554748535156,0.014321289415143212,1,2024-06-30,2023-12-31
2024-07-11,118.28710701331696,121.77825576758184,115.28489604253632,120.04554748535156,4112879,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.014321289415143212,125.77548217773438,0.046627196878859856,1,2024-06-30,2023-12-31
2024-07-12,120.0798598829636,127.03641177044332,117.93542358088725,125.77548217773438,13200563,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.046627196878859856,127.61113739013672,0.014489220700197869,1,2024-06-30,2023-12-31
2024-07-15,126.9506472497718,131.46253716310335,126.9506472497718,127.61113739013672,7829515,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.014489220700197869,127.61113739013672,0.0,0,2024-06-30,2023-12-31
2024-07-16,127.61113739013672,127.61113739013672,127.61113739013672,127.61113739013672,0,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0,127.61113739013672,0.0,0,2024-06-30,2023-12-31
2024-07-17,127.61113739013672,127.61113739013672,127.61113739013672,127.61113739013672,0,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0,127.07073211669922,-0.004243773500834713,0,2024-06-30,2023-12-31
2024-07-18,127.72263611822618,128.48605500908616,125.74976495637824,127.07073211669922,3008807,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.004243773500834713,121.5466537475586,-0.04444570668264625,0,2024-06-30,2023-12-31
2024-07-19,127.16507978936194,127.16507978936194,120.17422229101962,121.5466537475586,4105210,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.04444570668264625,122.17283630371094,0.0051385626473567925,1,2024-06-30,2023-12-31
2024-07-22,121.4952000937068,123.73399243884808,117.94401358988983,122.17283630371094,5099615,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0051385626473567925,121.21212005615234,-0.007894664088528458,0,2024-06-30,2023-12-31
2024-07-23,123.07348926654218,124.37731025261928,120.1742201760746,121.21212005615234,2318442,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.007894664088528458,121.36653900146484,0.0012731455171737238,1,2024-06-30,2023-12-31
2024-07-24,121.46089473577896,122.99630558841544,120.94622471431964,121.36653900146484,988990,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0012731455171737238,119.8654327392578,-0.012445494905977128,0,2024-06-30,2023-12-31
2024-07-25,121.80399871107242,121.80399871107242,118.80178747523614,119.8654327392578,2704698,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.012445494905977128,117.44649505615234,-0.0203868510584293,0,2024-06-30,2023-12-31
2024-07-26,119.8311073644722,119.8311073644722,116.65734400557038,117.44649505615234,675443,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.0203868510584293,116.75169372558594,-0.005933464922261322,0,2024-06-30,2023-12-31
2024-07-29,116.47719958893474,118.96475362008306,116.27134207504716,116.75169372558594,1836143,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.005933464922261322,114.62442016601562,-0.018388531695328503,0,2024-06-30,2023-12-31
2024-07-30,118.35573169849307,119.05911312957878,114.18694675789116,114.62442016601562,1604367,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.018388531695328503,113.10616302490234,-0.01333399857599904,0,2024-06-30,2023-12-31
2024-07-31,114.62442778198611,117.42934139307384,111.76803669876836,113.10616302490234,2350522,0.5,0.5,1,1,0,0,0.15181,-0.715838,-0.01333399857599904,114.2898941040039,0.010411277895874704,1,2024-06-30,2023-12-31
2024-08-01,113.10616095016717,114.667303939153,112.36847425972717,114.2898941040039,1582379,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.010411277895874704,116.5544204711914,0.01962014108942256,1,2024-06-30,2023-12-31
2024-08-02,115.37068729792324,117.94401117817432,113.22625073104734,116.5544204711914,4088836,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.01962014108942256,112.86598205566406,-0.03215717709232102,0,2024-06-30,2023-12-31
2024-08-05,115.79956958108606,116.22845687583082,111.96531611897976,112.86598205566406,1826989,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.03215717709232102,113.64655303955078,0.0068921048752415,1,2024-06-30,2023-12-31
